Gene,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,P value,Q value (Benjamini-Hochberg corrected P value),CV,MZ,PV,Zone
Cyp2c50,18.99170893,15.80824874,13.14526611,10.99750085,8.669693767,6.740424596,5.154404575,3.970458111,2.699272272,0,0,17.39997884,9.888221331,3.941378319,CV
Ghr,4.017655258,3.873778335,3.70908087,3.579606792,3.44021173,3.271648137,3.185763544,3.089698896,3.017871629,0,0,3.945716797,3.500136882,3.097778023,CV
Cyp3a11,64.80623425,53.78521672,45.08135014,38.74666703,33.82942342,31.62855383,30.9198532,31.13771109,32.21261898,0,0,59.29572549,37.32149861,31.42339442,CV
Rdh9,0.35781865,0.213068028,0.139750838,0.092681102,0.067317414,0.049719633,0.049832508,0.04103227,0.028734587,0,0,0.285443339,0.087367247,0.039866455,CV
Ces1d,7.96333734,7.679369415,7.361113981,7.014577517,6.455671046,5.954995915,5.458257406,5.13966749,4.785045776,0,0,7.821353378,6.696589615,5.127656891,CV
Ces1g,2.728127468,2.662467765,2.576576432,2.368934837,2.307474987,1.912106769,1.755381409,1.602522834,1.455435849,0,0,2.695297617,2.291273256,1.604446697,CV
Ces1c,24.78849492,23.83990786,23.58369689,22.33868603,20.7217218,19.16961504,17.77364312,16.63463004,15.16578433,0,0,24.31420139,21.45342994,16.52468583,CV
Adtrp,1.834070587,1.702848585,1.553940243,1.511617483,1.425592784,1.326907743,1.27557195,1.2872559,1.203321355,0,0,1.768459586,1.454514563,1.255383068,CV
Gstm1,13.79964603,12.67010963,11.80038907,10.81753306,9.869672697,8.963495978,8.40825276,7.9706229,7.435563147,0,0,13.23487783,10.3627727,7.938146269,CV
Mug1,43.60266343,43.98075587,43.62536473,43.18146519,41.71193637,41.09040701,39.85582886,39.13812436,38.06098689,0,0,43.79170965,42.40229333,39.01831337,CV
Chpt1,2.10253594,1.946105523,1.832810226,1.659781317,1.578458071,1.583242061,1.492370109,1.473535546,1.444570655,0,0,2.024320732,1.663572919,1.47015877,CV
Cyp2c70,8.149254504,8.455040272,8.63715044,8.382675784,7.835928406,7.273095429,6.753549758,6.342554432,5.944850651,0,0,8.302147388,8.032212515,6.346984947,CV
Serpina6,2.139426184,1.91116556,1.740256053,1.561424178,1.378790752,1.24662718,1.097950299,1.001694202,0.906301251,0,0,2.025295872,1.481774541,1.001981917,CV
Ttr,106.5191055,107.8621564,109.5657903,107.6026007,105.2585044,102.5100461,100.0272579,98.38260657,97.97374308,0,0,107.190631,106.2342354,98.79453585,CV
Cyp2c67,5.948166489,5.232156438,4.714267698,4.211237504,3.709255163,3.149092812,2.755854716,2.417341606,2.110849975,0,0,5.590161464,3.945963294,2.428015432,CV
Atp11c,1.736565097,1.692876713,1.603860442,1.510907083,1.440707197,1.316275244,1.232147069,1.199044975,1.147967049,0,0,1.714720905,1.467937492,1.193053031,CV
Paqr9,1.791171793,1.790792964,1.720060294,1.697873646,1.536559304,1.407025045,1.242050379,1.10490185,0.977347427,0,0,1.790982379,1.590379572,1.108099885,CV
Cyp4a12a,2.142909996,1.790679748,1.439611498,1.28203049,1.227598494,1.179580166,1.20343552,1.287014861,1.312443087,0,0,1.966794872,1.282205162,1.267631156,CV
Cyp4a10,2.609039503,1.944002309,1.548461962,1.165717706,0.988019013,0.872657506,0.803808182,0.753289104,0.714212141,0,0,2.276520906,1.143714047,0.757103142,CV
Cyp2c54,7.463691973,6.387986453,5.451687444,4.414466205,3.562919553,2.702663733,2.127108306,1.688048089,1.34026419,0,0,6.925839213,4.032934234,1.718473528,CV
Cyp2d9,22.60047024,21.1947762,20.41452788,18.79570026,17.39731222,16.18582311,15.23065688,14.55677457,13.79041749,0,0,21.89762322,18.19834087,14.52594965,CV
Gstm6,0.673311102,0.553648666,0.486505787,0.429135961,0.348316034,0.318593936,0.273067028,0.254032318,0.222161923,0,0,0.613479884,0.39563793,0.249753756,CV
Rdh16,0.970246524,0.820935717,0.713877742,0.59118194,0.456174344,0.412300924,0.360894031,0.333800632,0.306699448,0,0,0.895591121,0.543383738,0.333798037,CV
Ces3a,25.88656681,24.28765975,22.83308377,22.19740397,21.31259542,20.21167165,19.74447163,19.42818525,19.09523805,0,0,25.08711328,21.6386887,19.42263164,CV
Ugt2b36,13.45192986,12.61105266,12.21603471,11.52237529,11.27979427,10.87546222,10.69153542,10.59293062,10.45500346,0,0,13.03149126,11.47341662,10.57982317,CV
Ang,4.22325084,3.859911439,3.331932374,3.011114615,2.479136116,2.090715445,1.825584354,1.551778531,1.335604336,0,0,4.04158114,2.728224638,1.570989074,CV
Acot1,0.701177051,0.5436506,0.450151893,0.375737356,0.312378657,0.275801601,0.217417974,0.206751837,0.183597611,0,0,0.622413826,0.353517377,0.202589141,CV
