"","x"
"RPP40",0.81928746928747
"SPAG1",0.81928746928747
"EMP1",0.81928746928747
"GAL3ST1",0.81928746928747
"RP11-469A15.2",0.81928746928747
"PPAT",0.81928746928747
"GUCY1B3",0.81928746928747
"GALNT16",0.81928746928747
"ZNF267",0.81928746928747
"RASSF2",0.81928746928747
"ZNF791",0.81928746928747
"SMYD3",0.81928746928747
"DYNC2LI1",0.81928746928747
"TSPYL4",0.81928746928747
"RP11-273G15.2",0.81928746928747
"ANKRD26",0.81928746928747
"MARK2",0.81928746928747
"TNFAIP8L3",0.81928746928747
"B3GNT9",0.81928746928747
"SIGLEC11",0.81928746928747
"USP9Y",0.81928746928747
"IQCC",0.819287469287471
"RP11-342M1.3",0.819287469287471
"FCER1A",0.819287469287471
"GSTCD",0.819287469287471
"ZBED3-AS1",0.819287469287471
"SUPT3H",0.819287469287471
"KRBA1",0.819287469287471
"FAM58A",0.819287469287471
"KDM4C",0.819287469287471
"RP11-326C3.15",0.819287469287471
"LRIG3",0.819287469287471
"TNFSF11",0.819287469287471
"ARG2",0.819287469287471
"PAPLN",0.819287469287471
"ASIP",0.819287469287471
"TBX1",0.819287469287471
"NGF",0.819287469287471
"BAG3",0.819287469287471
"ALPK2",0.819287469287471
"C19orf82",0.819287469287471
"FMO2",0.819287469287471
"HSPA2",0.819287469287471
"RP11-473M20.7",0.819287469287472
"FAM172A",0.819287469287472
"RNMT",0.81948667056166
"RAD54L2",0.819637722761893
"PHLDA3",0.820166805022997
"FTH1",0.82039869399545
"EGFL7",0.820685845963743
"NFATC3",0.82075703552979
"KLHL36",0.82075703552979
"RNF125",0.820759179092514
"REPS2",0.820817417876241
"RPL28",0.821005230981934
"DHRS4L2",0.821065461782961
"ACOT7",0.82146163955127
"SH3RF2",0.821639115125085
"ZDHHC16",0.821639115125085
"DNASE1L3",0.821954227313855
"RNASEH2C",0.821981268125581
"SEC24A",0.822986812570146
"TMEM98",0.823121450186997
"APH1A",0.823161770837039
"SLC25A10.1",0.823280396180946
"ASS1",0.823405398000244
"LPA",0.823598540747771
"ZNF746",0.823650402733444
"RCOR3",0.823853114478115
"S100A16",0.82454112009987
"AKR1D1",0.824811541127122
"MSRB1",0.824978177970653
"MT-ATP6",0.825061905203267
"UBL7",0.825726737324856
"DNAJA1",0.825790702504455
"ARHGAP12",0.825979491888583
"RP11-383C5.4",0.82598163475926
"AFF3",0.82598163475926
"ICOSLG",0.825981634759261
"FMNL2",0.825981634759261
"EFCAB12",0.825981634759261
"KCNJ15",0.825981634759261
"STAM",0.825981634759261
"CCDC59",0.825981634759261
"RND2",0.825981634759261
"SAMSN1",0.825981634759261
"CAMK2G",0.825981634759261
"MYO9A",0.825981634759262
"WDR43",0.825981634759263
"MAPK3",0.826105499438833
"TMEM165",0.826170894188841
"UBE2E1",0.826204517455896
"DIO3OS",0.826498138198129
"SLC38A4",0.82650772113141
"ALDH2",0.826974922539127
"HSPH1",0.827185828877004
"C19orf54",0.827185828877004
"FAM53B",0.827185828877005
"MTRF1L",0.827185828877005
"MARVELD3",0.827185828877005
"TCF7",0.827185828877005
"MAP3K4",0.827185828877005
"TLN1",0.827313924465723
"NSFL1C",0.827394620661816
"MEF2BNB",0.827776890160634
"STK40",0.827993403415138
"SH3D19",0.828109225983405
"RBM28",0.828228764342961
"C11orf49",0.828228764342961
"ARHGAP21",0.828228764342962
"RAB12",0.828228764342962
"FAM65C",0.828390886376998
"ASCC3",0.828937617854677
"FTL",0.829191788024268
"JMJD1C",0.829304520562704
"ATP5H",0.829321729484377
"CCL21",0.829731946480505
"PEX19",0.829913518382261
"C19orf80",0.830344660745077
"COPS2",0.830357360827666
"SNRPE",0.830365601218091
"NME3",0.830784488146511
"HSD17B13",0.830914983108594
"TPI1",0.831016486803974
"NOL11",0.831260635915808
"TNFSF12",0.832122634989969
"CMTM7",0.832139037433154
"CCDC149",0.832139037433154
"NUTM2A-AS1",0.832139037433154
"RP11-473M20.14",0.832139037433155
"RP13-582O9.5",0.832139037433155
"TRMT5",0.832139037433155
"HELZ2",0.832139037433155
"AL590714.1",0.832139037433155
"HEG1",0.832139037433156
"CCDC137",0.832139037433156
"PHACTR2",0.832139037433156
"OLFM1",0.832139037433156
"CHD8",0.832139037433156
"MED4",0.832158572934921
"CCNC",0.832158572934922
"DCN",0.832288742416472
"DAAM1",0.832457174803163
"LTBP3",0.832546741708078
"MRS2",0.832565222454807
"AIFM1",0.83265317174795
"SEC16B",0.833060489841661
"RIPK4",0.833334639498432
"GNB2L1",0.83339163120717
"TIPRL",0.833745723362659
"TMOD1",0.833745723362659
"SEC61A2",0.83433708957715
"ZNF684",0.834366246450191
"GNA11",0.834495844341868
"TSC1",0.834527191558441
"PANX2",0.835004050599663
"SLMO2",0.835082647895739
"DERL1",0.83517874166327
"LRP3",0.835440469850697
"OGT",0.835687564337258
"FBL",0.835862069908668
"ETNK2",0.836339790280549
"MRPS10",0.836467512635521
"SIRPA",0.836956006151811
"CIDEB",0.836972528373124
"TOLLIP",0.837029285849635
"AKR1C2",0.837030686578034
"VPS33A",0.837185163321527
"STX5",0.837330079237524
"NDUFV1",0.837911563487715
"ARID5A",0.838181660770498
"PPM1B",0.838200498132005
"ST3GAL3",0.838309058861273
"RHBG",0.838420645747496
"PSMG4",0.838469388885798
"PCOLCE2",0.83859139926946
"TPRKB",0.838650109970675
"ZCCHC8",0.838650109970675
"ACTR10",0.838650109970675
"ARL16",0.83879334791768
"B3GALT6",0.838825617400226
"CCDC94",0.838912616670188
"C6",0.839072343734435
"CUL5",0.839475034745567
"GOLT1A",0.839583022072073
"ANO6",0.839865319589927
"CNDP2",0.840040436345407
"ZNRF1",0.840155341291704
"IGBP1",0.840225769923874
"OFD1",0.840830381739473
"THG1L",0.840830381739473
"PITPNA",0.841060181062863
"SYT7",0.841312547103042
"AKR1C3",0.841338946712271
"SNRPB",0.841578066118181
"FGD3",0.8416277732684
"TBX3",0.842012587522459
"KANSL2",0.842045454545454
"MAT1A",0.842090928250215
"TRIM38",0.84220807848695
"VAPB",0.842217608170761
"FAM96B",0.842362025036147
"MTRNR2L8",0.842664500397943
"PSMB1",0.842694028676973
"RP11-130L8.2",0.842695357221101
"HGS",0.842758762540384
"KIF1C",0.843412930625442
"YTHDF1",0.843489291058735
"CITED2",0.84382134323954
"YRDC",0.843821343239541
"ELOVL1",0.844142474521046
"AHCYL1",0.844644314461533
"CLDND1",0.844978666555942
"TBL1X",0.845310395625873
"PPP6R3",0.845756308221435
"HNRNPA1",0.845821360012303
"WRB",0.845916681707447
"SMAP1",0.845916681707447
"PIKFYVE",0.845916681707447
"WDFY2",0.845916681707448
"SLC25A45",0.845916681707448
"DNM1L",0.846074227971323
"PSMF1",0.847185164423703
"PUS3",0.847346036286935
"GADD45G",0.847719240822016
"ARMC8",0.84775789357846
"SVEP1",0.84775789357846
"PAMR1",0.847954590574772
"ADCK3",0.848097150168161
"ABCG5",0.848494536967096
"GYS2",0.848692251613703
"ANAPC5",0.848743532875655
"CXCL14",0.849264606031453
"ACAA2",0.849547924789963
"SLC19A1",0.850037617990158
"UCK1",0.850192366761162
"UBA2",0.850366775553354
"AP2S1",0.850586652679446
"CDO1",0.850900293809156
"EIF1AD",0.851004146956584
"C1orf131",0.851004146956586
"CCDC132",0.851004146956586
"MFAP1",0.851004146956586
"ERO1L",0.851137348239385
"JOSD2",0.851144046839438
"SCAND1",0.851383454071227
"GATA6",0.851453536035907
"HIST1H2BD",0.851455285614769
"RBFA",0.851471856182804
"TRIM8",0.851561924993032
"SHMT2",0.851746310558058
"CSNK2A2",0.852057510848066
"NSDHL",0.852060186837164
"ZFP36",0.852116295114201
"C12orf23",0.852438340807347
"NAA10",0.852839328231983
"PTPRS",0.852923450132901
"MT2A",0.853015118480632
"PLEKHO1",0.853046896249411
"HNRNPL",0.853063506947075
"SRP14",0.853226174623236
"CALM1",0.853447202378303
"CCL16",0.853837104786908
"TNFSF10",0.853948730219948
"FMO4",0.854310780849583
"MTPN",0.854310780849584
"USP20",0.854331190694826
"TARS2",0.854331190694827
"FIGN",0.854331190694827
"STEAP1",0.854331190694827
"AC113189.5",0.854331190694827
"CCDC115",0.854331190694828
"FNDC3B",0.854502615440116
