"","zone_1","zone_2","zone_3"
"Glrx2",0,0,0
"Trove2",0,0,0
"Uchl5",0,0,0
"Rgs2",0,0,0
"Rgs1",0,NA,0
"Pla2g4a",0,0,0
"BC003331",0,0,0
"Tpr",0,0,0
"Prg4",0,0,0
"Hmcn1",0,0,0
"C730036E19Rik",0,0,0
"Gm10138",0,0,0
"Ivns1abp",0.0357051464577708,0,0
"Swt1",0,0,0
"Trmt1l",0,0,0
"Rnf2",0,0,0
"Fam129a",0,0,0
"X2810414N06Rik",0,0,0
"Edem3",0,0,0
"X1700025G04Rik",0,0,0
"Tsen15",0,0,0
"Colgalt2",0,NA,0
"Rgl1",0,0,0
"Arpc5",0,0,0
"Ncf2",0,0,0
"Smg7",0,0,0
"Lamc2",0,0,0
"Lamc1",0,0,0
"Shcbp1l",0,NA,0
"Dhx9",0,0,0
"Npl",0,0,0
"Rgs16",0.0255925020397263,0,0
"Rnasel",0,0,0
"Teddm2",0,NA,0
"Teddm1b",0,NA,0
"Glul",0,0,0.439860704821573
"Gm9530",0,NA,0
"Ier5",0,0,0
"Mr1",0,0,0
"Stx6",0,0,0
"BC034090",0,NA,0
"Xpr1",0,0,0
"Gm5532",0,NA,0
"Acbd6",0,0,0
"Qsox1",0.0146335937371391,0,0
"Cep350",0,0,0
"Tor1aip1",0,0,0
"Tor1aip2",0,0,0
"Gm2000",0,0,0
"Soat1",0,0,0
"Gm10031",0,NA,0
"Abl2",0,0,0
"Tor3a",0,0,0
"Fam20b",0,0,0
"Ralgps2",0,0,0
"X4930439D14Rik",0,NA,0
"Rasal2",0,0,0
"Cryzl2",0,0,0
"Sec16b",0,0,0
"Cop1",0,0,0
"Tnr",0,NA,0
"Gm37294",0,NA,0
"X4930523C07Rik",0,0,0
"Mrps14",0,0,0
"Cacybp",0,0,0.0111929159632275
"Rabgap1l",0,0,0
"Gm37083",0,NA,0
"Rc3h1",0,0,0
"Serpinc1",0.0350103371519381,0,0
"Zbtb37",0,0,0
"Dars2",0,0,0
"Cenpl",0,0,0
"Klhl20",0,0,0
"Prdx6",0,0,0.233684892389281
"Fasl",0,NA,0
"Suco",0,0,0
"Pigc",0,0,0
"Dnm3",0,NA,0
"X2810442N19Rik",0,NA,0
"Dnm3os",0,NA,0
"Mettl13",0,0,0
"Vamp4",0,0,0
"Prrc2c",0,0,0
"Fmo4",0,0,0
"Fmo1",0,0,0.139355964196229
"Fmo2",0,0,0
"Prrx1",0,NA,0
"Gorab",0,0,0
"Kifap3",0,0,0
"Scyl3",0,0,0
"BC055324",0,NA,0
"Mettl18",0,0,0
"Sell",0,0,0
"Selp",0,0,0
"Gm16587",0,NA,0
"Gm16548",0,0,0.0216696677521045
"F5",0,0,0.0347120864923776
"Slc19a2",0,0,0.0832936604097015
"Ccdc181",0,0,0
"Blzf1",0,0,0
"Nme7",0,0,0
"Atp1b1",0.0814712582721868,0,0
"Dpt",0,0,0
"Xcl1",0,NA,0
"Sft2d2",0,0,0
"Tiprl",0,0,0
"Gpr161",0,NA,0
"Dcaf6",0,0,0
"Mpc2",0,0,0.129771962393011
"Mpzl1",0,0,0
"Rcsd1",0,0,0
"Creg1",0,0,0.266764403067683
"Cd247",0,NA,0
"Pou2f1",0,0,0
"Ildr2",0,0,0
"Gm15853",0,NA,0
"Tada1",0,0,0
"Pogk",0,0,0
"Fam78b",0,NA,0
"Uck2",0,0,0
"Tmco1",0,0,0.0109664895836666
"Aldh9a1",0,0,0.0153625955780205
"Mgst3",0,0,0
"Rxrg",0,0,0
"Pbx1",0,0,0
"Nuf2",0,NA,0
"Rgs5",0,0,0
"Rgs4",0,NA,0
"Hsd17b7",0,0,0
"X3110045C21Rik",0,0,0
"Ddr2",0,0,0
"Uap1",0,0,0
"Gm37748",0,NA,0
"Uhmk1",0,0,0
"X4930500M09Rik",0,NA,0
"Sh2d1b1",0,NA,0
"Gm7694",0,0,0
"Olfml2b",0,0,0
"Atf6",0,0,0
"Dusp12",0,0,0
"Gm26620",0,NA,0
"Fcrla",0,0,0
"Fcgr2b",0,0,0
"Fcgr4",0,0,0
"Fcgr3",0,0,0
"Cfap126",0,0,0
"Sdhc",0,0,0
"Mpz",0,NA,0
"Pcp4l1",0,0,0.0488553492496236
"Nr1i3",0,0,0.207141400799704
"Tomm40l",0,0,0
"Apoa2",0,0,0.322519332360918
"Fcer1g",0,0,0
"Ndufs2",0,0,0
"Adamts4",0,NA,0
"B4galt3",0,0,0
"Ppox",0,0,0
"Usp21",0,0,0
"Ufc1",0,0,0
"Gm20045",0,NA,0
"Dedd",0,0,0
"Nit1",0,0,0
"Pfdn2",0,0,0
"Nectin4",0,NA,0
"Arhgap30",0,0,0
"Usf1",0,0,0
"Tstd1",0.216171411358998,0,0
"Gm26641",0,0,0
"F11r",0.0340759965168081,0,0
"B930036N10Rik",0,NA,0
"Alyref2",0,0,0
"Ly9",0,0,0
"Slamf7",0,NA,0
"Cd48",0,0,0
"Cd84",0,0,0
"Slamf6",0,NA,0
"Vangl2",0,NA,0
"Ncstn",0,0,0
"Copa",0,0,0
"Pex19",0,0,0
"Dcaf8",0,0,0.0131205311569588
"Pea15a",0,0,0
"Casq1",0,NA,0
"Atp1a4",0,NA,0
"Igsf8",0,0,0
"Atp1a2",0,NA,0
"Kcnj9",0,NA,0
"Kcnj10",0,0,0
"Pigm",0,0,0
"Slamf9",0,0,0
"Igsf9",0,NA,0
"Tagln2",0,0,0
"Cfap45",0,NA,0
"Slamf8",0,0,0
"Dusp23",0,0,0
"Crp",0,0,0
